log_file,date,compute_system,file_system,application,shared_or_fpp,read_or_write,md5
glock_ior_id3902162_2-14-34180-2820864499230456043_1.darshan,2017-02-14,edison,scratch1,ior,shared,write,d9563bca72932417cff663cd1faf43c9
glock_ior_id3902163_2-14-34181-9189207252245774385_1.darshan,2017-02-14,edison,scratch2,ior,shared,write,43181f5928db2420e0eb0b9c7d344cdc
glock_ior_id3902163_2-14-34239-3686405822329412260_1.darshan,2017-02-14,edison,scratch2,ior,fpp,write,6624d4b258efec1f8d38c5b4aec2bc02
glock_ior_id3902162_2-14-34329-6086436787515981560_1.darshan,2017-02-14,edison,scratch1,ior,fpp,write,b5d725e0ac0ee394eafd842682a63ec1
glock_ior_id3902163_2-14-34334-2269807424151659752_1.darshan,2017-02-14,edison,scratch2,ior,shared,read,d75996c3897d2aef3b43fd0e9ab791c6
glock_ior_id3902163_2-14-34386-2888724119015388096_1.darshan,2017-02-14,edison,scratch2,ior,fpp,read,db994142498c7a5ffad446d819303384
glock_ior_id3902162_2-14-34425-9164860522516329865_1.darshan,2017-02-14,edison,scratch1,ior,shared,read,b7fcbfda26991236dc4cad4a3b874100
glock_hacc_io_write_id3902163_2-14-34459-15045805868721732566_1.darshan,2017-02-14,edison,scratch2,hacc_io_write,fpp,write,9f23a11ca9efb79e60143e8c6c154c14
glock_ior_id3902162_2-14-34500-2703135679838147811_1.darshan,2017-02-14,edison,scratch1,ior,fpp,read,3ef39771b4e913f8ea19acb39295fca9
glock_hacc_io_read_id3902163_2-14-34555-6168754620123523045_1.darshan,2017-02-14,edison,scratch2,hacc_io_read,fpp,read,08e9f0f013dbd055b1dacd62abbc49dd
glock_hacc_io_write_id3902162_2-14-34574-7402926763670784219_1.darshan,2017-02-14,edison,scratch1,hacc_io_write,fpp,write,06d40146aced11a196b234886c7a043e
glock_vpicio_uni_id3902163_2-14-34631-10379350989084232164_1.darshan,2017-02-14,edison,scratch2,vpicio_uni,shared,write,f6ce220f1eb92d39b48a66a1734b25dd
glock_hacc_io_read_id3902162_2-14-34675-6539515814899542359_1.darshan,2017-02-14,edison,scratch1,hacc_io_read,fpp,read,045848a5e637ee79cf02bb0684b19e1c
glock_vpicio_uni_id3902162_2-14-34763-7973380590636324510_1.darshan,2017-02-14,edison,scratch1,vpicio_uni,shared,write,7e24fcc3ec96c82f1603673c9df9e717
glock_dbscan_read_id3902163_2-14-34788-18340950207998828092_1.darshan,2017-02-14,edison,scratch2,dbscan_read,shared,read,edac63c3f2a24d3dbc9166c0343d00b7
glock_dbscan_read_id3902162_2-14-34896-483057948091360764_1.darshan,2017-02-14,edison,scratch1,dbscan_read,shared,read,363089258ff028e883fe198110df96c0
glock_ior_id3902164_2-14-34901-2891150410867703965_1.darshan,2017-02-14,edison,scratch3,ior,shared,write,2e68117ed4938f31d6935915bdaa3f2d
glock_ior_id3902164_2-14-34957-17041054709389151072_1.darshan,2017-02-14,edison,scratch3,ior,fpp,write,73e4ad3b0aefc157de39fe837806f6cc
glock_ior_id3902164_2-14-35025-5707173787014076065_1.darshan,2017-02-14,edison,scratch3,ior,shared,read,3919b0fd61a927e92f9b28d52202232e
glock_ior_id3902164_2-14-35098-6592708684252228947_1.darshan,2017-02-14,edison,scratch3,ior,fpp,read,be10b21bfc4a2a6242ac7d626daf0ff0
glock_hacc_io_write_id3902164_2-14-35153-10624006251627808960_1.darshan,2017-02-14,edison,scratch3,hacc_io_write,fpp,write,2aaf3d336fd728a90b1e260bb0e0d424
glock_hacc_io_read_id3902164_2-14-35217-13728358177119066100_1.darshan,2017-02-14,edison,scratch3,hacc_io_read,fpp,read,19d0adb0bbac3891d8b218707aa74dcf
glock_vpicio_uni_id3902164_2-14-35274-15176466364612400861_1.darshan,2017-02-14,edison,scratch3,vpicio_uni,shared,write,2fbe9218d7fc5df7a5f8d3ceb405e640
glock_dbscan_read_id3902164_2-14-35437-15024187150317167858_1.darshan,2017-02-14,edison,scratch3,dbscan_read,shared,read,f456768b986191003ec1df6d129c0dda
glock_ior_id3753564_2-14-37360-10627468971670439841_1.darshan,2017-02-14,cori,cscratch,ior,shared,write,1cd64215e83bfb3764c1e4fee06f6e71
glock_ior_id3753564_2-14-37431-8981721334937162040_2.darshan,2017-02-14,cori,cscratch,ior,fpp,write,116d1ff8522aa213d8871656b64b2e49
glock_ior_id3753564_2-14-37461-9477807337562741298_1.darshan,2017-02-14,cori,bb-shared,ior,shared,write,d9b91b7637b2655ee54981258befa5ca
glock_ior_id3753564_2-14-37496-4711394662536596635_2.darshan,2017-02-14,cori,bb-private,ior,fpp,write,c75af46d963148f6750e0c8d5369e4d2
glock_ior_id3753564_2-14-37557-14842706358335450593_2.darshan,2017-02-14,cori,cscratch,ior,fpp,read,ccb2e0d365c2b97144258f6a76393e1a
glock_ior_id3753564_2-14-37596-11247168574998254954_1.darshan,2017-02-14,cori,bb-shared,ior,shared,read,fe88016e2ce0d4bca9f54b137a83c2ae
glock_ior_id3753564_2-14-37627-10781096859547451772_2.darshan,2017-02-14,cori,bb-private,ior,fpp,read,b6377784bfe7a90c826d41c699c53a0b
glock_hacc_io_write_id3753564_2-14-37645-6079377554812527094_2.darshan,2017-02-14,cori,cscratch,hacc_io_write,fpp,write,92aff8819c39325bafbaa1dcefc1e6fd
glock_hacc_io_write_id3753564_2-14-37704-17093086717227528503_2.darshan,2017-02-14,cori,bb-shared,hacc_io_write,fpp,write,4f5bbe4c5f473189e966ac0ab79277af
glock_hacc_io_write_id3753564_2-14-37758-5801514324366088141_2.darshan,2017-02-14,cori,bb-private,hacc_io_write,fpp,write,2a4fd053c818b116777b8ceb721d22a7
glock_hacc_io_read_id3753564_2-14-37807-17176666244678012259_2.darshan,2017-02-14,cori,cscratch,hacc_io_read,fpp,read,5be464e97fc50f749b31ba7740c1c7cd
glock_hacc_io_read_id3753564_2-14-37874-4508682843008978137_1.darshan,2017-02-14,cori,bb-shared,hacc_io_read,fpp,read,1ebf36ed62d3611f39d04459cf5ba8f1
glock_hacc_io_read_id3753564_2-14-37910-685232824224881629_1.darshan,2017-02-14,cori,bb-private,hacc_io_read,fpp,read,f68876da56e99aae54710d6892e90f37
glock_vpicio_uni_id3753564_2-14-37956-16484137997545860015_1.darshan,2017-02-14,cori,cscratch,vpicio_uni,shared,write,903f42d1e2e440be32dd24695f93c098
glock_vpicio_uni_id3753564_2-14-38261-14380407827637350917_1.darshan,2017-02-14,cori,bb-shared,vpicio_uni,shared,write,e1f6bd8e5340efd62eac5a6c80f95b27
glock_dbscan_read_id3753564_2-14-38303-762189047141959173_1.darshan,2017-02-14,cori,cscratch,dbscan_read,shared,read,b25a02bfb7223dcb4aa1727f4545c5e2
glock_dbscan_read_id3753564_2-14-38358-819677022737675817_1.darshan,2017-02-14,cori,bb-shared,dbscan_read,shared,read,091c443df2191a988f03931022aa7674
glock_ior_id3753767_2-14-39874-7930672915776550103_1.darshan,2017-02-14,cori,cscratch,ior,shared,write,acee9e8901b98532735bb2ea97bfcb5d
glock_ior_id3753767_2-14-39945-11927406378288076747_2.darshan,2017-02-14,cori,cscratch,ior,fpp,write,aec721f16415aee8c7bbe08e1a0eb7c0
glock_ior_id3753767_2-14-39974-8621443033168858163_1.darshan,2017-02-14,cori,bb-shared,ior,shared,write,a826ed6c097c059a7717dfebe4b80a0e
glock_ior_id3753767_2-14-40010-8827881015132292700_2.darshan,2017-02-14,cori,bb-private,ior,fpp,write,045b1fe05b852e46a0d0972b13d0579d
glock_ior_id3753767_2-14-40131-9853148403620998050_2.darshan,2017-02-14,cori,cscratch,ior,fpp,read,9eb1f17814cc766e12006440453f2115
glock_ior_id3753767_2-14-40196-6734566843471255443_1.darshan,2017-02-14,cori,bb-shared,ior,shared,read,a56dbf7d3493d62865b3f44f48effff8
glock_ior_id3753767_2-14-40226-8921059186788910102_2.darshan,2017-02-14,cori,bb-private,ior,fpp,read,3a0ef44366c07ec5335596608cae1439
glock_hacc_io_write_id3753767_2-14-40243-10841984167425186722_2.darshan,2017-02-14,cori,cscratch,hacc_io_write,fpp,write,a0f5bd72fd3e22341f598fca88e331b7
glock_hacc_io_write_id3753767_2-14-40280-12013621319616406548_2.darshan,2017-02-14,cori,bb-shared,hacc_io_write,fpp,write,7473d3abccbd1a54f5060263a7244399
glock_hacc_io_write_id3753767_2-14-40311-9970157983098361689_2.darshan,2017-02-14,cori,bb-private,hacc_io_write,fpp,write,80d8749d5dbc1ad333c5eed6e590b8ad
glock_hacc_io_read_id3753767_2-14-40339-2459286774015111119_3.darshan,2017-02-14,cori,cscratch,hacc_io_read,fpp,read,37e9e152b64a2a998b7486a86b370cb8
glock_hacc_io_read_id3753767_2-14-40382-14394892385409963526_2.darshan,2017-02-14,cori,bb-shared,hacc_io_read,fpp,read,d6c663e32d15ed23a9f001eba4c709bd
glock_hacc_io_read_id3753767_2-14-40419-6430380859211133106_1.darshan,2017-02-14,cori,bb-private,hacc_io_read,fpp,read,376263afe8472a1e3afd934fd62a406e
glock_vpicio_uni_id3753767_2-14-40455-16624575589151477929_1.darshan,2017-02-14,cori,cscratch,vpicio_uni,shared,write,2f19075c45ebec936380fb81aec3754d
glock_vpicio_uni_id3753767_2-14-40764-13137353302629562223_1.darshan,2017-02-14,cori,bb-shared,vpicio_uni,shared,write,bb1beda3b60f6a008a9419c494d3e192
glock_dbscan_read_id3753767_2-14-40806-18065558471786703180_1.darshan,2017-02-14,cori,cscratch,dbscan_read,shared,read,fa03da97435579c8fb5412bc7be33284
glock_dbscan_read_id3753767_2-14-40863-11323197333274106300_1.darshan,2017-02-14,cori,bb-shared,dbscan_read,shared,read,ff57f3db007c6e9ea81863a3d94c4031
glock_ior_id3904444_2-14-47186-16382881032584217997_1.darshan,2017-02-14,edison,scratch1,ior,shared,write,53056e506c0bc8a9345981348811ac12
glock_ior_id3904445_2-14-47187-4206678711650911942_1.darshan,2017-02-14,edison,scratch2,ior,shared,write,126dbf5df4012defd8bd6367abae05bb
glock_ior_id3904445_2-14-47246-3930856672749734707_1.darshan,2017-02-14,edison,scratch2,ior,fpp,write,3375c31bcf50a193d73a7b18269165d2
glock_ior_id3904444_2-14-47313-10085809702731300224_1.darshan,2017-02-14,edison,scratch1,ior,fpp,write,24696bc092fe9f48cb5418fb712c62a0
glock_ior_id3904445_2-14-47343-12566472383394804542_1.darshan,2017-02-14,edison,scratch2,ior,shared,read,2151bbb50bb36b19f2db21efa4c32d24
glock_ior_id3904445_2-14-47394-11959632179798387858_1.darshan,2017-02-14,edison,scratch2,ior,fpp,read,c8b36219d209c6395458f151e20e3671
glock_ior_id3904444_2-14-47404-12700116908083153822_1.darshan,2017-02-14,edison,scratch1,ior,shared,read,26b342ad0685a6c76aa2a449500ed656
glock_hacc_io_write_id3904445_2-14-47465-12218270063106672302_1.darshan,2017-02-14,edison,scratch2,hacc_io_write,fpp,write,edc687346b65db5965e3e31f7e873b72
glock_ior_id3904444_2-14-47468-8001965317882005099_1.darshan,2017-02-14,edison,scratch1,ior,fpp,read,9c64259712f12be7806592d92ca61caf
